host_module,Gene,GeneEdgeWeight
Module_125__galactose_metabolic,B4GALT1,1.8869187027308232
Module_125__galactose_metabolic,CHST1,1.8869187027308232
Module_125__galactose_metabolic,GALE,1.8869187027308232
Module_125__galactose_metabolic,GALK1,1.8869187027308232
Module_125__galactose_metabolic,GALK2,1.8869187027308232
Module_125__galactose_metabolic,GALM,1.8869187027308232
Module_125__galactose_metabolic,GALT,1.8869187027308232
Module_125__galactose_metabolic,GLB1L,1.8869187027308232
Module_125__galactose_metabolic,GLB1L2,1.8869187027308232
Module_125__galactose_metabolic,GLB1L3,1.8869187027308232
Module_125__galactose_metabolic,PGM1,1.8869187027308232
Module_125__galactose_metabolic,SLC35A2,1.8869187027308232
Module_160__transport_urate,ABCC4,1.5023967263183537
Module_160__transport_urate,ABCG2,1.5023967263183537
Module_160__transport_urate,SLC17A1,1.5023967263183537
Module_160__transport_urate,SLC17A2,1.5023967263183537
Module_160__transport_urate,SLC17A3,1.5023967263183537
Module_160__transport_urate,SLC17A4,1.5023967263183537
Module_160__transport_urate,SLC22A12,1.5023967263183537
Module_160__transport_urate,SLC23A1,1.5023967263183537
Module_160__transport_urate,SLC2A9,1.5023967263183537
Module_160__transport_urate,UMOD,1.5023967263183537
Module_196__alanine_aspartate,ABAT,2.150317895611401
Module_196__alanine_aspartate,ADSL,2.150317895611401
Module_196__alanine_aspartate,ADSS1,2.150317895611401
Module_196__alanine_aspartate,ADSS2,2.150317895611401
Module_196__alanine_aspartate,AGXT2,2.150317895611401
Module_196__alanine_aspartate,ALDH5A1,2.150317895611401
Module_196__alanine_aspartate,ASL,2.150317895611401
Module_196__alanine_aspartate,ASNS,2.150317895611401
Module_196__alanine_aspartate,ASS1,2.150317895611401
Module_196__alanine_aspartate,CAD,2.150317895611401
Module_196__alanine_aspartate,CPS1,2.150317895611401
Module_196__alanine_aspartate,FOLH1,2.150317895611401
Module_196__alanine_aspartate,GAD1,2.150317895611401
Module_196__alanine_aspartate,GAD2,2.150317895611401
Module_196__alanine_aspartate,GFPT2,2.150317895611401
Module_196__alanine_aspartate,GLS,2.150317895611401
Module_196__alanine_aspartate,GLUD2,2.150317895611401
Module_196__alanine_aspartate,GLUL,2.150317895611401
Module_196__alanine_aspartate,GOT1L1,2.150317895611401
Module_196__alanine_aspartate,GPT,2.150317895611401
Module_196__alanine_aspartate,GPT2,2.150317895611401
Module_196__alanine_aspartate,IL4I1,2.150317895611401
Module_196__alanine_aspartate,NAT8L,2.150317895611401
Module_196__alanine_aspartate,PPAT,2.150317895611401
Module_196__alanine_aspartate,RIMKLA,2.150317895611401
Module_196__alanine_aspartate,RIMKLB,2.150317895611401
Module_1__receptor_secretion,ADA,1.334589913340493
Module_1__receptor_secretion,ADA2,1.334589913340493
Module_1__receptor_secretion,ADCY1,4.490791413796576
Module_1__receptor_secretion,ADCY10,1.334589913340493
Module_1__receptor_secretion,ADCY2,4.490791413796576
Module_1__receptor_secretion,ADCY3,4.490791413796576
Module_1__receptor_secretion,ADCY4,4.490791413796576
Module_1__receptor_secretion,ADCY5,4.490791413796576
Module_1__receptor_secretion,ADCY7,1.334589913340493
Module_1__receptor_secretion,ADCY8,4.490791413796576
Module_1__receptor_secretion,ADCY9,4.490791413796576
Module_1__receptor_secretion,ADSL,1.334589913340493
Module_1__receptor_secretion,ADSS1,1.334589913340493
Module_1__receptor_secretion,ADSS2,1.334589913340493
Module_1__receptor_secretion,AK3,1.334589913340493
Module_1__receptor_secretion,AK4,1.334589913340493
Module_1__receptor_secretion,AK7,1.334589913340493
Module_1__receptor_secretion,AK9,1.334589913340493
Module_1__receptor_secretion,ALB,4.490791413796576
Module_1__receptor_secretion,ALDH6A1,3.949001091461268
Module_1__receptor_secretion,ALLC,1.334589913340493
Module_1__receptor_secretion,ALOX5,1.4366370814095537
Module_1__receptor_secretion,AMPD2,1.334589913340493
Module_1__receptor_secretion,AMPD3,1.334589913340493
Module_1__receptor_secretion,ASGR1,4.490791413796576
Module_1__receptor_secretion,ASGR2,4.490791413796576
Module_1__receptor_secretion,ATF6B,4.490791413796576
Module_1__receptor_secretion,ATP1A1,4.490791413796576
Module_1__receptor_secretion,ATP1A2,4.490791413796576
Module_1__receptor_secretion,ATP1A3,4.490791413796576
Module_1__receptor_secretion,ATP1A4,4.490791413796576
Module_1__receptor_secretion,ATP1B1,4.490791413796576
Module_1__receptor_secretion,ATP1B2,4.490791413796576
Module_1__receptor_secretion,ATP1B4,4.490791413796576
Module_1__receptor_secretion,BMP15,1.4366370814095537
Module_1__receptor_secretion,BMP6,1.4366370814095537
Module_1__receptor_secretion,CANT1,1.334589913340493
Module_1__receptor_secretion,CANX,4.490791413796576
Module_1__receptor_secretion,CDIPT,3.949001091461268
Module_1__receptor_secretion,CREB3L1,4.490791413796576
Module_1__receptor_secretion,CREB3L2,4.490791413796576
Module_1__receptor_secretion,CREB3L3,4.490791413796576
Module_1__receptor_secretion,CREB5,4.490791413796576
Module_1__receptor_secretion,CYP11A1,1.4366370814095537
Module_1__receptor_secretion,CYP17A1,1.4366370814095537
Module_1__receptor_secretion,CYP19A1,1.4366370814095537
Module_1__receptor_secretion,CYP1A1,1.4366370814095537
Module_1__receptor_secretion,CYP1B1,1.4366370814095537
Module_1__receptor_secretion,DGUOK,1.334589913340493
Module_1__receptor_secretion,DUOX1,4.490791413796576
Module_1__receptor_secretion,DUOX2,4.490791413796576
Module_1__receptor_secretion,DUOXA2,4.490791413796576
Module_1__receptor_secretion,ENPP1,1.334589913340493
Module_1__receptor_secretion,ENPP3,1.334589913340493
Module_1__receptor_secretion,ENPP4,1.334589913340493
Module_1__receptor_secretion,ENTPD1,1.334589913340493
Module_1__receptor_secretion,ENTPD5,1.334589913340493
Module_1__receptor_secretion,FIG4,3.949001091461268
Module_1__receptor_secretion,FSHB,1.4366370814095537
Module_1__receptor_secretion,FXYD2,4.490791413796576
Module_1__receptor_secretion,GART,1.334589913340493
Module_1__receptor_secretion,GDA,1.334589913340493
Module_1__receptor_secretion,GNAQ,4.490791413796576
Module_1__receptor_secretion,GNAS,4.490791413796576
Module_1__receptor_secretion,GPX1,4.490791413796576
Module_1__receptor_secretion,GPX3,4.490791413796576
Module_1__receptor_secretion,GPX5,4.490791413796576
Module_1__receptor_secretion,GPX6,4.490791413796576
Module_1__receptor_secretion,GPX7,4.490791413796576
Module_1__receptor_secretion,GSR,4.490791413796576
Module_1__receptor_secretion,GUCY1A1,1.334589913340493
Module_1__receptor_secretion,GUCY1A2,1.334589913340493
Module_1__receptor_secretion,GUCY1B1,1.334589913340493
Module_1__receptor_secretion,GUCY2C,1.334589913340493
Module_1__receptor_secretion,GUCY2D,1.334589913340493
Module_1__receptor_secretion,GUCY2F,1.334589913340493
Module_1__receptor_secretion,HSD17B1,1.4366370814095537
Module_1__receptor_secretion,HSD17B2,1.4366370814095537
Module_1__receptor_secretion,IGF1,1.4366370814095537
Module_1__receptor_secretion,IGF1R,1.4366370814095537
Module_1__receptor_secretion,IMPDH2,1.334589913340493
Module_1__receptor_secretion,INPP1,3.949001091461268
Module_1__receptor_secretion,INPP4A,3.949001091461268
Module_1__receptor_secretion,INPP4B,3.949001091461268
Module_1__receptor_secretion,INPP5A,3.949001091461268
Module_1__receptor_secretion,INPP5B,3.949001091461268
Module_1__receptor_secretion,INPP5D,3.949001091461268
Module_1__receptor_secretion,INPP5F,3.949001091461268
Module_1__receptor_secretion,INPPL1,3.949001091461268
Module_1__receptor_secretion,INS,1.4366370814095537
Module_1__receptor_secretion,INSR,1.4366370814095537
Module_1__receptor_secretion,IP6K3,3.949001091461268
Module_1__receptor_secretion,IPMK,3.949001091461268
Module_1__receptor_secretion,IPPK,3.949001091461268
Module_1__receptor_secretion,ITPKB,3.949001091461268
Module_1__receptor_secretion,ITPKC,3.949001091461268
Module_1__receptor_secretion,ITPR1,4.490791413796576
Module_1__receptor_secretion,ITPR2,4.490791413796576
Module_1__receptor_secretion,ITPR3,4.490791413796576
Module_1__receptor_secretion,IYD,4.490791413796576
Module_1__receptor_secretion,JMJD7-PLA2G4B,1.4366370814095537
Module_1__receptor_secretion,LDLR,1.4366370814095537
Module_1__receptor_secretion,LHCGR,1.4366370814095537
Module_1__receptor_secretion,LRP2,4.490791413796576
Module_1__receptor_secretion,MINPP1,3.949001091461268
Module_1__receptor_secretion,MTM1,3.949001091461268
Module_1__receptor_secretion,MTMR1,3.949001091461268
Module_1__receptor_secretion,MTMR14,3.949001091461268
Module_1__receptor_secretion,MTMR3,3.949001091461268
Module_1__receptor_secretion,MTMR4,3.949001091461268
Module_1__receptor_secretion,MTMR6,3.949001091461268
Module_1__receptor_secretion,MTMR8,3.949001091461268
Module_1__receptor_secretion,NME3,1.334589913340493
Module_1__receptor_secretion,NME4,1.334589913340493
Module_1__receptor_secretion,NME7,1.334589913340493
Module_1__receptor_secretion,NPR1,1.334589913340493
Module_1__receptor_secretion,NPR2,1.334589913340493
Module_1__receptor_secretion,NT5C1A,1.334589913340493
Module_1__receptor_secretion,NT5C1B,1.334589913340493
Module_1__receptor_secretion,NT5C1B-RDH14,1.334589913340493
Module_1__receptor_secretion,NT5E,1.334589913340493
Module_1__receptor_secretion,NUDT16,1.334589913340493
Module_1__receptor_secretion,OCRL,3.949001091461268
Module_1__receptor_secretion,PAX8,4.490791413796576
Module_1__receptor_secretion,PDE10A,1.334589913340493
Module_1__receptor_secretion,PDE11A,1.334589913340493
Module_1__receptor_secretion,PDE1A,1.334589913340493
Module_1__receptor_secretion,PDE1C,1.334589913340493
Module_1__receptor_secretion,PDE2A,1.334589913340493
Module_1__receptor_secretion,PDE3A,1.334589913340493
Module_1__receptor_secretion,PDE4A,1.334589913340493
Module_1__receptor_secretion,PDE4B,1.334589913340493
Module_1__receptor_secretion,PDE4D,1.334589913340493
Module_1__receptor_secretion,PDE5A,1.334589913340493
Module_1__receptor_secretion,PDE6A,1.334589913340493
Module_1__receptor_secretion,PDE6B,1.334589913340493
Module_1__receptor_secretion,PDE6C,1.334589913340493
Module_1__receptor_secretion,PDE6D,1.334589913340493
Module_1__receptor_secretion,PDE9A,1.334589913340493
Module_1__receptor_secretion,PDIA4,4.490791413796576
Module_1__receptor_secretion,PGM2,1.334589913340493
Module_1__receptor_secretion,PI4KA,3.949001091461268
Module_1__receptor_secretion,PIK3C2A,3.949001091461268
Module_1__receptor_secretion,PIK3C2B,3.949001091461268
Module_1__receptor_secretion,PIK3C2G,3.949001091461268
Module_1__receptor_secretion,PIK3C3,3.949001091461268
Module_1__receptor_secretion,PIK3CA,3.949001091461268
Module_1__receptor_secretion,PIK3CD,3.949001091461268
Module_1__receptor_secretion,PIKFYVE,3.949001091461268
Module_1__receptor_secretion,PIP4K2B,3.949001091461268
Module_1__receptor_secretion,PIP4K2C,3.949001091461268
Module_1__receptor_secretion,PIP5K1A,3.949001091461268
Module_1__receptor_secretion,PIP5K1B,3.949001091461268
Module_1__receptor_secretion,PIP5KL1,3.949001091461268
Module_1__receptor_secretion,PLA2G4A,1.4366370814095537
Module_1__receptor_secretion,PLA2G4B,1.4366370814095537
Module_1__receptor_secretion,PLA2G4C,1.4366370814095537
Module_1__receptor_secretion,PLA2G4D,1.4366370814095537
Module_1__receptor_secretion,PLA2G4E,1.4366370814095537
Module_1__receptor_secretion,PLA2G4F,1.4366370814095537
Module_1__receptor_secretion,PLCB1,4.490791413796576
Module_1__receptor_secretion,PLCB2,4.490791413796576
Module_1__receptor_secretion,PLCB3,3.949001091461268
Module_1__receptor_secretion,PLCB4,4.490791413796576
Module_1__receptor_secretion,PLCD1,3.949001091461268
Module_1__receptor_secretion,PLCE1,3.949001091461268
Module_1__receptor_secretion,PLCG1,3.949001091461268
Module_1__receptor_secretion,PLCG2,3.949001091461268
Module_1__receptor_secretion,PLCH1,3.949001091461268
Module_1__receptor_secretion,PLCH2,3.949001091461268
Module_1__receptor_secretion,PLCZ1,3.949001091461268
Module_1__receptor_secretion,PPAT,1.334589913340493
Module_1__receptor_secretion,PPIP5K1,3.949001091461268
Module_1__receptor_secretion,PPIP5K2,3.949001091461268
Module_1__receptor_secretion,PRKACA,4.490791413796576
Module_1__receptor_secretion,PRKCA,4.490791413796576
Module_1__receptor_secretion,PRKCB,4.490791413796576
Module_1__receptor_secretion,PRKCG,4.490791413796576
Module_1__receptor_secretion,PRPS1,1.334589913340493
Module_1__receptor_secretion,PRPS1L1,1.334589913340493
Module_1__receptor_secretion,PRUNE1,1.334589913340493
Module_1__receptor_secretion,PTEN,3.949001091461268
Module_1__receptor_secretion,PTGS2,1.4366370814095537
Module_1__receptor_secretion,RRM1,1.334589913340493
Module_1__receptor_secretion,RRM2,1.334589913340493
Module_1__receptor_secretion,SCARB1,1.4366370814095537
Module_1__receptor_secretion,SERPINA7,4.490791413796576
Module_1__receptor_secretion,SLC26A4,4.490791413796576
Module_1__receptor_secretion,SLC5A5,4.490791413796576
Module_1__receptor_secretion,STAR,1.4366370814095537
Module_1__receptor_secretion,SYNJ1,3.949001091461268
Module_1__receptor_secretion,SYNJ2,3.949001091461268
Module_1__receptor_secretion,TG,4.490791413796576
Module_1__receptor_secretion,TPO,4.490791413796576
Module_1__receptor_secretion,TSHB,4.490791413796576
Module_1__receptor_secretion,TSHR,4.490791413796576
Module_1__receptor_secretion,TTF1,4.490791413796576
Module_1__receptor_secretion,TTF2,4.490791413796576
Module_1__receptor_secretion,TTR,4.490791413796576
Module_1__receptor_secretion,XDH,1.334589913340493
Module_20__glycosylation_biosynthetic,BCAN,1.5073079137047676
Module_20__glycosylation_biosynthetic,BGN,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHPF2,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHST11,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHST12,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHST13,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHST3,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHST7,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHST9,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHSY1,1.5073079137047676
Module_20__glycosylation_biosynthetic,CHSY3,1.5073079137047676
Module_20__glycosylation_biosynthetic,CSGALNACT1,1.5073079137047676
Module_20__glycosylation_biosynthetic,CSPG4,1.5073079137047676
Module_20__glycosylation_biosynthetic,CSPG5,1.5073079137047676
Module_20__glycosylation_biosynthetic,DCN,1.5073079137047676
Module_20__glycosylation_biosynthetic,NCAN,1.5073079137047676
Module_20__glycosylation_biosynthetic,UST,1.5073079137047676
Module_20__glycosylation_biosynthetic,VCAN,1.5073079137047676
Module_21__transport_lipid,ABCA1,1.926148295197548
Module_21__transport_lipid,ABCA3,3.0639789082794726
Module_21__transport_lipid,ABCG5,1.926148295197548
Module_21__transport_lipid,ABCG8,1.926148295197548
Module_21__transport_lipid,ABHD12,3.0639789082794726
Module_21__transport_lipid,ABHD12B,3.0639789082794726
Module_21__transport_lipid,ABHD2,3.0639789082794726
Module_21__transport_lipid,ABHD3,3.0639789082794726
Module_21__transport_lipid,ABHD6,3.0639789082794726
Module_21__transport_lipid,ABHD8,3.0639789082794726
Module_21__transport_lipid,ACSL1,3.0639789082794726
Module_21__transport_lipid,AGK,3.0639789082794726
Module_21__transport_lipid,AGPAT1,3.0639789082794726
Module_21__transport_lipid,AGPAT2,3.0639789082794726
Module_21__transport_lipid,AGPAT3,3.0639789082794726
Module_21__transport_lipid,AGPAT4,3.0639789082794726
Module_21__transport_lipid,ALOX15,3.0639789082794726
Module_21__transport_lipid,ANGPTL4,1.926148295197548
Module_21__transport_lipid,APOA1,3.0639789082794726
Module_21__transport_lipid,APOA5,3.0639789082794726
Module_21__transport_lipid,APOB,3.0639789082794726
Module_21__transport_lipid,APOBEC1,3.0639789082794726
Module_21__transport_lipid,APOC1,3.0639789082794726
Module_21__transport_lipid,APOC2,3.0639789082794726
Module_21__transport_lipid,APOC3,3.0639789082794726
Module_21__transport_lipid,APOE,3.0639789082794726
Module_21__transport_lipid,APOF,3.0639789082794726
Module_21__transport_lipid,APOH,3.0639789082794726
Module_21__transport_lipid,ATM,3.0639789082794726
Module_21__transport_lipid,AVIL,3.0639789082794726
Module_21__transport_lipid,BECN1,3.0639789082794726
Module_21__transport_lipid,BLVRA,3.0639789082794726
Module_21__transport_lipid,BMX,3.0639789082794726
Module_21__transport_lipid,C3,3.0639789082794726
Module_21__transport_lipid,CAPN2,3.0639789082794726
Module_21__transport_lipid,CAV1,3.0639789082794726
Module_21__transport_lipid,CAV3,3.0639789082794726
Module_21__transport_lipid,CD36,1.926148295197548
Module_21__transport_lipid,CHAT,3.0639789082794726
Module_21__transport_lipid,CHKA,3.0639789082794726
Module_21__transport_lipid,CHRM5,3.0639789082794726
Module_21__transport_lipid,CIDEB,3.0639789082794726
Module_21__transport_lipid,CIDEC,3.0639789082794726
Module_21__transport_lipid,CPS1,3.0639789082794726
Module_21__transport_lipid,CPT1A,3.0639789082794726
Module_21__transport_lipid,CRLS1,3.0639789082794726
Module_21__transport_lipid,CWH43,3.0639789082794726
Module_21__transport_lipid,CYP27A1,1.926148295197548
Module_21__transport_lipid,DAGLA,3.0639789082794726
Module_21__transport_lipid,DAGLB,3.0639789082794726
Module_21__transport_lipid,DDHD2,3.0639789082794726
Module_21__transport_lipid,DGAT1,3.0639789082794726
Module_21__transport_lipid,DGAT2,3.0639789082794726
Module_21__transport_lipid,DGAT2L6,3.0639789082794726
Module_21__transport_lipid,DGKA,3.0639789082794726
Module_21__transport_lipid,DGKB,3.0639789082794726
Module_21__transport_lipid,DGKD,3.0639789082794726
Module_21__transport_lipid,DGKG,3.0639789082794726
Module_21__transport_lipid,DGKI,3.0639789082794726
Module_21__transport_lipid,DGKK,3.0639789082794726
Module_21__transport_lipid,DGKQ,3.0639789082794726
Module_21__transport_lipid,DGKZ,3.0639789082794726
Module_21__transport_lipid,DPM2,3.0639789082794726
Module_21__transport_lipid,EFR3B,3.0639789082794726
Module_21__transport_lipid,ENPP2,3.0639789082794726
Module_21__transport_lipid,ENPP6,3.0639789082794726
Module_21__transport_lipid,ETNK1,3.0639789082794726
Module_21__transport_lipid,ETNK2,3.0639789082794726
Module_21__transport_lipid,FABP3,3.0639789082794726
Module_21__transport_lipid,FABP5,3.0639789082794726
Module_21__transport_lipid,FBXW7,3.0639789082794726
Module_21__transport_lipid,FIG4,3.0639789082794726
Module_21__transport_lipid,FITM2,3.0639789082794726
Module_21__transport_lipid,FUT1,3.0639789082794726
Module_21__transport_lipid,GAL3ST1,3.0639789082794726
Module_21__transport_lipid,GALR2,3.0639789082794726
Module_21__transport_lipid,GDE1,3.0639789082794726
Module_21__transport_lipid,GDPD3,3.0639789082794726
Module_21__transport_lipid,GK,3.0639789082794726
Module_21__transport_lipid,GK2,3.0639789082794726
Module_21__transport_lipid,GK5,3.0639789082794726
Module_21__transport_lipid,GNB3,3.0639789082794726
Module_21__transport_lipid,GPIHBP1,3.0639789082794726
Module_21__transport_lipid,GPLD1,3.0639789082794726
Module_21__transport_lipid,GPR82,3.0639789082794726
Module_21__transport_lipid,GPX1,3.0639789082794726
Module_21__transport_lipid,HADHA,3.0639789082794726
Module_21__transport_lipid,HTR2A,3.0639789082794726
Module_21__transport_lipid,HTR2B,3.0639789082794726
Module_21__transport_lipid,HTR2C,3.0639789082794726
Module_21__transport_lipid,INPP1,3.0639789082794726
Module_21__transport_lipid,INPP4A,3.0639789082794726
Module_21__transport_lipid,INPP4B,3.0639789082794726
Module_21__transport_lipid,INPP5A,3.0639789082794726
Module_21__transport_lipid,INPP5B,3.0639789082794726
Module_21__transport_lipid,INPP5E,3.0639789082794726
Module_21__transport_lipid,INPP5F,3.0639789082794726
Module_21__transport_lipid,INPP5J,3.0639789082794726
Module_21__transport_lipid,INPP5K,3.0639789082794726
Module_21__transport_lipid,IP6K1,3.0639789082794726
Module_21__transport_lipid,IP6K2,3.0639789082794726
Module_21__transport_lipid,IP6K3,3.0639789082794726
Module_21__transport_lipid,ITPKA,3.0639789082794726
Module_21__transport_lipid,ITPKB,3.0639789082794726
Module_21__transport_lipid,LCAT,3.0639789082794726
Module_21__transport_lipid,LDLR,3.0639789082794726
Module_21__transport_lipid,LDLRAP1,1.926148295197548
Module_21__transport_lipid,LIPA,3.0639789082794726
Module_21__transport_lipid,LIPC,3.0639789082794726
Module_21__transport_lipid,LIPE,3.0639789082794726
Module_21__transport_lipid,LIPG,3.0639789082794726
Module_21__transport_lipid,LIPH,3.0639789082794726
Module_21__transport_lipid,LMF1,3.0639789082794726
Module_21__transport_lipid,LPA,1.926148295197548
Module_21__transport_lipid,LPCAT1,3.0639789082794726
Module_21__transport_lipid,LPCAT3,3.0639789082794726
Module_21__transport_lipid,LPIN1,3.0639789082794726
Module_21__transport_lipid,LPIN2,3.0639789082794726
Module_21__transport_lipid,LPIN3,3.0639789082794726
Module_21__transport_lipid,LPL,3.0639789082794726
Module_21__transport_lipid,LRP1,1.926148295197548
Module_21__transport_lipid,LRP2,1.926148295197548
Module_21__transport_lipid,LRPAP1,1.926148295197548
Module_21__transport_lipid,LYPLA2,3.0639789082794726
Module_21__transport_lipid,MBOAT1,3.0639789082794726
Module_21__transport_lipid,MBOAT2,3.0639789082794726
Module_21__transport_lipid,MBOAT7,3.0639789082794726
Module_21__transport_lipid,MECP2,3.0639789082794726
Module_21__transport_lipid,MFSD2A,3.0639789082794726
Module_21__transport_lipid,MGLL,3.0639789082794726
Module_21__transport_lipid,MOGAT1,3.0639789082794726
Module_21__transport_lipid,MOGAT2,3.0639789082794726
Module_21__transport_lipid,MOGAT3,3.0639789082794726
Module_21__transport_lipid,MTMR1,3.0639789082794726
Module_21__transport_lipid,MTMR3,3.0639789082794726
Module_21__transport_lipid,MTMR4,3.0639789082794726
Module_21__transport_lipid,MTMR7,3.0639789082794726
Module_21__transport_lipid,MTMR8,3.0639789082794726
Module_21__transport_lipid,MYLIP,1.926148295197548
Module_21__transport_lipid,NAPEPLD,3.0639789082794726
Module_21__transport_lipid,NCEH1,1.926148295197548
Module_21__transport_lipid,NKX2-3,3.0639789082794726
Module_21__transport_lipid,NR1H2,3.0639789082794726
Module_21__transport_lipid,NR1H3,3.0639789082794726
Module_21__transport_lipid,NR1H4,3.0639789082794726
Module_21__transport_lipid,OC90,3.0639789082794726
Module_21__transport_lipid,OCRL,3.0639789082794726
Module_21__transport_lipid,OSBPL10,3.0639789082794726
Module_21__transport_lipid,OSBPL5,3.0639789082794726
Module_21__transport_lipid,PCK1,3.0639789082794726
Module_21__transport_lipid,PCK2,3.0639789082794726
Module_21__transport_lipid,PCSK9,3.0639789082794726
Module_21__transport_lipid,PCYT1A,3.0639789082794726
Module_21__transport_lipid,PCYT1B,3.0639789082794726
Module_21__transport_lipid,PCYT2,3.0639789082794726
Module_21__transport_lipid,PDGFA,3.0639789082794726
Module_21__transport_lipid,PDGFB,3.0639789082794726
Module_21__transport_lipid,PEMT,3.0639789082794726
Module_21__transport_lipid,PGAP1,3.0639789082794726
Module_21__transport_lipid,PGAP2,3.0639789082794726
Module_21__transport_lipid,PGAP3,3.0639789082794726
Module_21__transport_lipid,PGS1,3.0639789082794726
Module_21__transport_lipid,PHB2,3.0639789082794726
Module_21__transport_lipid,PI4KB,3.0639789082794726
Module_21__transport_lipid,PIGA,3.0639789082794726
Module_21__transport_lipid,PIGL,3.0639789082794726
Module_21__transport_lipid,PIGQ,3.0639789082794726
Module_21__transport_lipid,PIGS,3.0639789082794726
Module_21__transport_lipid,PIGT,3.0639789082794726
Module_21__transport_lipid,PIGV,3.0639789082794726
Module_21__transport_lipid,PIGW,3.0639789082794726
Module_21__transport_lipid,PIGX,3.0639789082794726
Module_21__transport_lipid,PIGZ,3.0639789082794726
Module_21__transport_lipid,PIK3C2A,3.0639789082794726
Module_21__transport_lipid,PIK3C2B,3.0639789082794726
Module_21__transport_lipid,PIK3CA,3.0639789082794726
Module_21__transport_lipid,PIK3CB,3.0639789082794726
